date,platform,product_category,model_name,condition,launch_price_usd,launch_price_inr,current_price_usd,current_price_inr,discount_pct,sale_event,stock_status,rating,reviews_count,z_score
28-10-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1009.63,97164.8,-0.011,Regular Sale,In Stock,4.4,85,0.499501782
29-10-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,431.07,42574.97,-0.005,Regular Sale,In Stock,4.2,244,-0.710436262
29-10-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1015.49,99558.75,-0.017,Regular Sale,In Stock,4.7,39,0.552561687
29-10-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,981.21,95950.2,0.018,Regular Sale,Low Stock,4.3,40,0.472581186
30-10-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,594.31,58603.69,0.008,Regular Sale,In Stock,4.6,47,-0.355173054
30-10-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,Referbished,599,58702,422.34,35559.8,0.295,Regular Sale,Low Stock,4.2,85,-0.865921653
30-10-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1014.52,99556.9,-0.016,Regular Sale,In Stock,4.7,82,0.552520683
30-10-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,993.58,99125.25,0.005,Regular Sale,In Stock,4.8,73,0.542953521
31-10-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,435.96,43342.18,-0.016,Regular Sale,In Stock,4.8,136,-0.693431692
31-10-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,436.42,43069.56,-0.017,Regular Sale,Low Stock,4.8,253,-0.699474087
31-10-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,990.98,95954,0.008,Regular Sale,Low Stock,4.7,92,0.47266541
01-11-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,434.66,41913.7,-0.013,Regular Sale,Low Stock,4.6,144,-0.72509276
01-11-2020,Flipkart,Watch,Apple Watch Series 6 ,Referbished,429,42042,347.06,29583.24,0.191,Regular Sale,Low Stock,3.9,165,-0.99838712
01-11-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,589.04,58512.67,0.017,Regular Sale,In Stock,4.6,124,-0.357190436
01-11-2020,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,609.61,60678.47,-0.018,Regular Sale,In Stock,4.3,134,-0.309187286
01-11-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,Referbished,599,58702,431.12,37356.8,0.28,Regular Sale,In Stock,3.9,129,-0.826092647
01-11-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,597.29,59289.69,0.003,Regular Sale,Low Stock,4.8,71,-0.339968436
01-11-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,Referbished,599,58702,483.88,41749.39,0.192,Regular Sale,In Stock,4.3,73,-0.728734554
01-11-2020,Amazon,iPhone,iPhone 12 64GB,New,799,78302,786.11,77947.66,0.016,Regular Sale,In Stock,4.3,112,0.073569905
01-11-2020,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,783.26,75362.3,0.02,Regular Sale,In Stock,4.5,42,0.016267557
01-11-2020,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,785.33,78248.3,0.017,Regular Sale,In Stock,4.6,56,0.08023334
01-11-2020,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,799.58,79692.37,-0.001,Regular Sale,In Stock,4.5,58,0.112239947
01-11-2020,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,800.5,78332.06,-0.002,Regular Sale,In Stock,4.7,68,0.08208981
01-11-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1001.23,96756.78,-0.002,Regular Sale,Low Stock,4.7,80,0.490458359
02-11-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,437.17,42129.52,-0.019,Regular Sale,In Stock,4.6,216,-0.720309289
02-11-2020,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,598.7,58889.7,0.001,Regular Sale,In Stock,4.5,101,-0.348833881
02-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1011.87,100153.57,-0.013,Regular Sale,In Stock,4.3,139,0.565745376
03-11-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,432.19,42102.63,-0.007,Regular Sale,In Stock,4.4,202,-0.720905284
03-11-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,421.23,41944.74,0.018,Regular Sale,In Stock,4.2,222,-0.724404784
03-11-2020,Amazon,Watch,Apple Watch Series 6 ,Referbished,429,42042,297.95,24955.58,0.305,Regular Sale,Out of Stock,4.4,146,-1.100955343
03-11-2020,Amazon,iPhone,iPhone 12 64GB,New,799,78302,783.08,75610.67,0.02,Regular Sale,In Stock,4.7,133,0.021772471
03-11-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,991.92,98244.7,0.007,Regular Sale,In Stock,4.3,65,0.523436865
03-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1008.06,98478.9,-0.009,Regular Sale,In Stock,4.8,72,0.528627713
03-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,994.67,95865.1,0.004,Regular Sale,In Stock,4.8,122,0.470695016
03-11-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,993.15,99174.34,0.006,Regular Sale,In Stock,4.7,56,0.54404156
04-11-2020,Amazon,Watch,Apple Watch Series 6 ,Referbished,429,42042,298.43,25302.32,0.304,Regular Sale,Low Stock,4.2,197,-1.09327014
04-11-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,610.68,59320.53,-0.019,Regular Sale,In Stock,4.6,80,-0.339284893
04-11-2020,Amazon,iPhone,iPhone 12 64GB,Referbished,799,78302,654.7,56034.88,0.181,Regular Sale,Out of Stock,4,119,-0.412108585
04-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1003.99,98799.98,-0.005,Regular Sale,In Stock,4.9,82,0.535744183
05-11-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,422.75,41641.87,0.015,Regular Sale,In Stock,4.4,183,-0.731117645
05-11-2020,Amazon,Watch,Apple Watch Series 6 ,Referbished,429,42042,328.85,28074.09,0.233,Regular Sale,Out of Stock,4.2,187,-1.03183617
05-11-2020,Amazon,Watch,Apple Watch Series 6 ,Referbished,429,42042,354.7,29595.22,0.173,Regular Sale,In Stock,3.9,266,-0.998121593
05-11-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,431.5,42305.84,-0.006,Regular Sale,Out of Stock,4.5,177,-0.716401304
05-11-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1015.53,100360.9,-0.017,Regular Sale,In Stock,4.5,46,0.570340673
05-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1016.29,100195.35,-0.017,Regular Sale,In Stock,4.7,74,0.566671395
05-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,Referbished,999,97902,794.78,68082.83,0.204,Regular Sale,In Stock,4.1,105,-0.145075823
05-11-2020,Amazon,iPhone,iPhone 12 Pro 128GB,Referbished,999,97902,820.82,70938.67,0.178,Regular Sale,In Stock,4.1,56,-0.081778512
06-11-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,420.47,40956.02,0.02,Regular Sale,Out of Stock,4.8,199,-0.746318938
06-11-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,420.47,41835,0.02,Regular Sale,In Stock,4.6,95,-0.726837079
06-11-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,601.99,59050.72,-0.005,Regular Sale,In Stock,4.6,116,-0.345265007
06-11-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,994.02,95737.68,0.005,Regular Sale,Low Stock,4.3,151,0.467870858
06-11-2020,Amazon,iPhone,iPhone 12 Pro 128GB,Referbished,999,97902,827.54,70811.46,0.172,Regular Sale,In Stock,3.9,128,-0.084598015
06-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,981.6,95226.66,0.017,Regular Sale,In Stock,4.4,64,0.456544526
07-11-2020,Flipkart,Watch,Apple Watch Series 6 ,Referbished,429,42042,348.69,29713.09,0.187,Regular Sale,In Stock,4.1,238,-0.995509103
07-11-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,606.04,59342.09,-0.012,Regular Sale,In Stock,4.7,98,-0.338807034
07-11-2020,Amazon,iPad,iPad Air (4th Gen) 64GB,Referbished,599,58702,499.28,42537.26,0.166,Regular Sale,In Stock,4.1,83,-0.711272072
07-11-2020,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,602.85,59122.8,-0.006,Regular Sale,Low Stock,4.2,102,-0.343667414
07-11-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1010.4,98460.61,-0.011,Regular Sale,In Stock,4.3,104,0.52822233
07-11-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,999.18,99454.05,0,Regular Sale,In Stock,4.7,107,0.550241099
08-11-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,588.56,57948.89,0.017,Regular Sale,In Stock,4.9,120,-0.36968615
08-11-2020,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,609.51,59862.87,-0.018,Regular Sale,In Stock,4.6,171,-0.327264379
08-11-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,599.35,58404.77,-0.001,Regular Sale,Out of Stock,4.2,101,-0.35958195
08-11-2020,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,798.89,77616.2,0,Regular Sale,In Stock,4.6,180,0.06622337
08-11-2020,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,799.64,78643.44,-0.001,Regular Sale,In Stock,4.6,124,0.088991288
08-11-2020,Amazon,iPhone,iPhone 12 Pro 128GB,Referbished,999,97902,756.91,63942.3,0.242,Regular Sale,In Stock,4.4,104,-0.236847217
09-11-2020,Flipkart,Watch,Apple Watch Series 6 ,Referbished,429,42042,333.26,27939.12,0.223,Regular Sale,Out of Stock,4.4,229,-1.034827668
09-11-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,605.76,59256.36,-0.011,Regular Sale,In Stock,4.3,156,-0.340707168
09-11-2020,Amazon,iPhone,iPhone 12 64GB,New,799,78302,808.32,79868.97,-0.012,Regular Sale,Out of Stock,4.4,132,0.116154138
09-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,Referbished,999,97902,839.34,72637.38,0.16,Regular Sale,In Stock,4.3,116,-0.044128022
10-11-2020,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,803.71,79321.42,-0.006,Regular Sale,Low Stock,4.8,136,0.104018149
10-11-2020,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,787.76,78647.34,0.014,Regular Sale,Low Stock,4.8,148,0.089077728
10-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,Referbished,999,97902,813.97,68223.53,0.185,Regular Sale,In Stock,4.3,160,-0.141957325
11-11-2020,Amazon,Watch,Apple Watch Series 6 ,Referbished,429,42042,315.7,27157.88,0.264,Regular Sale,In Stock,4.4,262,-1.052143201
11-11-2020,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,598.46,59003.4,0.001,Regular Sale,In Stock,4.8,108,-0.346313815
11-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1012.93,100728.33,-0.014,Regular Sale,In Stock,4.8,108,0.578484452
12-11-2020,Flipkart,Watch,Apple Watch Series 6 ,New,429,42042,433.86,42206.54,-0.011,Regular Sale,Out of Stock,4.5,315,-0.718602205
12-11-2020,Flipkart,Watch,Apple Watch Series 6 ,Referbished,429,42042,333.26,28075.49,0.223,Regular Sale,In Stock,4.3,129,-1.031805141
12-11-2020,Amazon,iPhone,iPhone 12 64GB,New,799,78302,810.96,80124.47,-0.015,Regular Sale,In Stock,4.2,58,0.121817083
12-11-2020,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,793.57,78160.9,0.007,Regular Sale,In Stock,4.9,70,0.078296192
12-11-2020,Amazon,iPhone,iPhone 12 64GB,New,799,78302,811.19,80298.69,-0.015,Regular Sale,Low Stock,4.8,110,0.125678524
12-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,Referbished,999,97902,821.86,71060.62,0.177,Regular Sale,In Stock,4.1,57,-0.079075592
12-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,Referbished,999,97902,797.26,67059.42,0.202,Regular Sale,Low Stock,3.9,124,-0.167758852
12-11-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1014.67,100108.3,-0.016,Regular Sale,In Stock,4.5,39,0.564742004
13-11-2020,Amazon,iPhone,iPhone 12 64GB,Referbished,799,78302,577.22,48516.42,0.278,Regular Sale,In Stock,3.9,110,-0.578748979
13-11-2020,Amazon,iPhone,iPhone 12 64GB,New,799,78302,791.2,78779.88,0.01,Regular Sale,Low Stock,4.6,143,0.092015367
13-11-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,992.66,96616.32,0.006,Regular Sale,In Stock,4.6,106,0.487345181
13-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,Referbished,999,97902,814.16,68733.65,0.185,Regular Sale,In Stock,4.4,76,-0.130650941
13-11-2020,Amazon,iPhone,iPhone 12 Pro 128GB,Referbished,999,97902,724.54,62362.72,0.275,Regular Sale,In Stock,3.8,125,-0.27185729
14-11-2020,Amazon,iPhone,iPhone 12 64GB,New,799,78302,802.85,78948.65,-0.005,Regular Sale,Low Stock,4.6,201,0.095756013
14-11-2020,Amazon,iPhone,iPhone 12 64GB,New,799,78302,786.79,76681.72,0.015,Regular Sale,In Stock,4.8,111,0.045511401
14-11-2020,Amazon,iPhone,iPhone 12 Pro 128GB,Referbished,999,97902,789.41,67998.41,0.21,Regular Sale,In Stock,3.9,102,-0.146946922
15-11-2020,Flipkart,Watch,Apple Watch Series 6 ,Referbished,429,42042,318.8,26808.96,0.257,Regular Sale,In Stock,4.4,339,-1.059876722
15-11-2020,Flipkart,Watch,Apple Watch Series 6 ,Referbished,429,42042,331.31,27820.42,0.228,Regular Sale,Low Stock,4.4,244,-1.037458554
15-11-2020,Amazon,Watch,Apple Watch Series 6 ,Referbished,429,42042,364.58,30932.57,0.15,Regular Sale,Low Stock,4.3,219,-0.968480346
15-11-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,423.44,42145.08,0.013,Regular Sale,In Stock,4.6,190,-0.719964415
15-11-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,596.02,57332.62,0.005,Regular Sale,Out of Stock,4.3,99,-0.38334526
15-11-2020,Amazon,iPhone,iPhone 12 64GB,New,799,78302,806.98,79556.8,-0.01,Regular Sale,In Stock,4.6,200,0.109235151
15-11-2020,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,784.79,77700.73,0.018,Regular Sale,Out of Stock,4.4,159,0.068096907
15-11-2020,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,789.1,76310.86,0.012,Regular Sale,In Stock,4.8,173,0.037291598
15-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,995.03,97672.91,0.004,Regular Sale,In Stock,4.7,89,0.510763617
15-11-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,987.23,97153.76,0.012,Regular Sale,In Stock,4.3,102,0.49925709
16-11-2020,Amazon,Watch,Apple Watch Series 6 ,New,429,42042,422.7,41032.46,0.015,Regular Sale,In Stock,4.4,223,-0.744624709
16-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,Referbished,999,97902,710.18,60071.22,0.289,Regular Sale,In Stock,4,116,-0.322646476
17-11-2020,Flipkart,Mac,MacBook Air M1 256GB,New,999,97902,1004.39,99738.16,-0.005,Regular Sale,In Stock,4.3,93,0.55653816
17-11-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,609.98,60915.58,-0.018,Regular Sale,In Stock,4.8,158,-0.30393194
17-11-2020,Amazon,iPhone,iPhone 12 64GB,Referbished,799,78302,600.55,51730.17,0.248,Regular Sale,Out of Stock,4,210,-0.507518891
18-11-2020,Flipkart,Mac,MacBook Air M1 256GB,Referbished,999,97902,702.73,58837.07,0.297,Regular Sale,Out of Stock,4.2,102,-0.350000381
18-11-2020,Amazon,Mac,MacBook Air M1 256GB,New,999,97902,988.62,96165.89,0.01,Regular Sale,In Stock,4.5,40,0.477361775
18-11-2020,Amazon,iPhone,iPhone 12 64GB,New,799,78302,797.26,77446.57,0.002,Regular Sale,In Stock,4.4,130,0.062463663
18-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,982.78,95120.73,0.016,Regular Sale,In Stock,4.7,68,0.454196676
18-11-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1007.26,99624.2,-0.008,Regular Sale,In Stock,4.4,89,0.554012332
18-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1008.54,97526.4,-0.01,Regular Sale,In Stock,4.6,163,0.507516345
18-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,Referbished,999,97902,805.29,67733.34,0.194,Regular Sale,In Stock,3.8,142,-0.152821977
18-11-2020,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,980.09,97595.42,0.019,Regular Sale,In Stock,4.6,115,0.509046115
19-11-2020,Flipkart,iPad,iPad Air (4th Gen) 64GB,Referbished,599,58702,444.11,38011.46,0.259,Regular Sale,In Stock,4,50,-0.811582654
19-11-2020,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,592.22,57755.38,0.011,Regular Sale,In Stock,4.3,152,-0.373975137
19-11-2020,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,608.5,60146.78,-0.016,Regular Sale,In Stock,4.5,85,-0.320971751
19-11-2020,Amazon,iPhone,iPhone 12 64GB,Referbished,799,78302,660.1,56955.23,0.174,Regular Sale,Out of Stock,4.5,102,-0.391709795
19-11-2020,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,993.9,97036.9,0.005,Regular Sale,In Stock,4.6,105,0.496666985
